CD_GEOCMU6DIG;CD_GEOCMU;NM_MUNICIP;LONG;LAT;POP_MUN;DATA;Casos;Obitos;Letalidade;Prevalencia_casos
290290;2902906;BARRA DO CHOÇA;-40,581198;-14,912901;31603;05/06/2020;14;0;0;44,3
290300;2903003;BARRA DO MENDES;-42,114404;-11,96709;13865;05/06/2020;1;0;0;7,21
290310;2903102;BARRA DO ROCHA;-39,587949;-14,10248;5714;05/06/2020;8;0;0;140,01
290320;2903201;BARREIRAS;-45,525105;-12,0176;155439;05/06/2020;86;0;0;55,33
290323;2903235;BARRO ALTO;-41,836786;-11,847992;14931;05/06/2020;0;0;NA;0
290327;2903276;BARROCAS;-39,09492;-11,538041;15978;05/06/2020;15;0;0;93,88
290330;2903300;BARRO PRETO;-39,444728;-14,775862;5591;05/06/2020;6;0;0;107,32
290340;2903409;BELMONTE;-39,177271;-15,935417;23328;05/06/2020;19;1;5,26;81,45
290350;2903508;BELO CAMPO;-41,20384;-14,998514;17211;05/06/2020;0;0;NA;0
290360;2903607;BIRITINGA;-38,792633;-11,585323;15979;05/06/2020;0;0;NA;0
290370;2903706;BOA NOVA;-40,230115;-14,360234;12633;05/06/2020;0;0;NA;0
290380;2903805;BOA VISTA DO TUPIM;-40,670227;-12,770168;18576;05/06/2020;3;0;0;16,15
290390;2903904;BOM JESUS DA LAPA;-43,293387;-13,277147;69148;05/06/2020;25;0;0;36,15
290395;2903953;BOM JESUS DA SERRA;-40,577361;-14,389879;9880;05/06/2020;0;0;NA;0
290400;2904001;BONINAL;-41,802498;-12,776673;14368;05/06/2020;0;0;NA;0
290405;2904050;BONITO;-41,320414;-11,969278;16764;05/06/2020;0;0;NA;0
290410;2904100;BOQUIRA;-42,722289;-12,74112;21508;05/06/2020;10;0;0;46,49
290420;2904209;BOTUPORÃ;-42,534706;-13,32623;10211;05/06/2020;0;0;NA;0
290430;2904308;BREJÕES;-39,850783;-13,075374;14295;05/06/2020;0;0;NA;0
290440;2904407;BREJOLÂNDIA;-43,824764;-12,499374;10557;05/06/2020;0;0;NA;0
290450;2904506;BROTAS DE MACAÚBAS;-42,46516;-12,086689;10231;05/06/2020;1;0;0;9,77
290460;2904605;BRUMADO;-41,689077;-14,167943;67195;05/06/2020;45;0;0;66,97
290470;2904704;BUERAREMA;-39,269578;-14,996443;18349;05/06/2020;39;5;12,82;212,55
290475;2904753;BURITIRAMA;-43,66763;-10,588126;21174;05/06/2020;4;0;0;18,89
290480;2904803;CAATIBA;-40,364107;-14,995802;6758;05/06/2020;0;0;NA;0
290485;2904852;CABACEIRAS DO PARAGUAÇU;-39,192485;-12,564274;18807;05/06/2020;2;0;0;10,63
290490;2904902;CACHOEIRA;-38,884757;-12,640864;33470;05/06/2020;10;0;0;29,88
290500;2905008;CACULÉ;-42,28505;-14,48289;23170;05/06/2020;0;0;NA;0
290510;2905107;CAÉM;-40,291104;-11,143067;9213;05/06/2020;5;0;0;54,27
290515;2905156;CAETANOS;-40,915807;-14,325683;14542;05/06/2020;2;0;0;13,75
290520;2905206;CAETITÉ;-42,476638;-13,947968;50975;05/06/2020;11;0;0;21,58
